bregmaX	bregmaY	galvoX	galvoY
-4	-5	0.13	-2.37
-3	-5	-0.07	-2.37
-2	-5	-0.26	-2.37
-1	-5	-0.44	-2.36
0	-5	-0.62	-2.36
-4	-4	0.13	-2.19
-3	-4	-0.08	-2.19
-2	-4	-0.28	-2.19
-1	-4	-0.46	-2.19
0	-4	-0.63	-2.19
-4	-3	0.11	-2.01
-3	-3	-0.09	-2.01
-2	-3	-0.29	-2.01
-1	-3	-0.47	-2.01
0	-3	-0.65	-2.01
-4	-2	0.1	-1.85
-3	-2	-0.11	-1.85
-2	-2	-0.3	-1.85
-1	-2	-0.48	-1.85
0	-2	-0.66	-1.85
-4	-1	0.09	-1.68
-3	-1	-0.11	-1.68
-2	-1	-0.31	-1.68
-1	-1	-0.49	-1.68
0	-1	-0.66	-1.68
-4	0	0.09	-1.51
-3	0	-0.11	-1.51
-2	0	-0.31	-1.51
-1	0	-0.49	-1.51
0	0	-0.66	-1.51
-4	1	0.09	-1.34
-3	1	-0.1	-1.34
-2	1	-0.3	-1.34
-1	1	-0.48	-1.34
0	1	-0.66	-1.34
-4	2	0.11	-1.17
-3	2	-0.1	-1.17
-2	2	-0.3	-1.17
-1	2	-0.48	-1.17
0	2	-0.65	-1.17
-4	3	0.13	-1
-3	3	-0.09	-1
-2	3	-0.29	-1
-1	3	-0.48	-1
0	3	-0.64	-1
-4	4	0.14	-0.84
-3	4	-0.05	-0.84
-2	4	-0.28	-0.84
-1	4	-0.47	-0.84
0	4	-0.62	-0.84
